Name,Country,Div Rank,Gender Rank,Overall Rank,Swim,Bike,Run,Finish,Points,T total,gender_rank_best_woman_after,gender
"Brotherton, Phil",USA,11,131,154,0:31:17,1:17:24,0:48:14,2:42:34,765,0:05:39,24,M
"Mapelli, Riccardo",USA,25,132,155,0:27:39,1:17:22,0:51:34,2:42:36,425,0:06:01,24,M
"Harvey, Daniel",USA,12,133,156,0:23:08,1:21:46,0:52:12,2:43:05,754,0:05:59,24,M
"Garcia Govea, Fernando",MEX,20,134,157,0:32:22,1:18:40,0:47:03,2:43:43,350,0:05:38,24,M
"Desrochers, Christine",USA,2,24,158,0:33:13,1:16:33,0:48:57,2:43:46,918,0:05:03,25,F
"Coulter, Shannon",USA,23,135,159,0:30:31,1:19:30,0:46:40,2:43:51,350,0:07:10,25,M
"Camet, Diane",USA,3,25,160,0:27:22,1:23:13,0:48:38,2:43:53,921,0:04:40,26,F
"Jarrat, David",USA,24,136,161,0:31:55,1:20:14,0:44:18,2:44:10,350,0:07:43,26,M
"Meyer, Alex",DEU,26,136,161,0:29:59,1:21:59,0:46:18,2:44:10,392,0:05:54,26,M
"Corona Rodríguez, Allan Daniel",MEX,15,138,163,0:29:45,1:22:50,0:46:11,2:44:25,350,0:05:39,26,M
"Wilmot, Jason",USA,25,139,164,0:24:25,1:23:58,0:48:06,2:44:28,350,0:07:59,26,M
"Warren, Christine",USA,8,26,165,0:28:23,1:27:10,0:45:02,2:44:31,595,0:03:56,27,F
"Collins, Zachary",USA,6,140,166,0:28:15,1:26:35,0:42:07,2:44:47,388,0:07:50,27,M
"Cabrera, Victor",MEX,21,141,167,0:32:21,1:20:54,0:45:34,2:44:49,350,0:06:00,27,M
"Dujon, Cedrick",LCA,22,142,168,0:28:23,1:20:52,0:49:07,2:45:16,350,0:06:54,27,M
"Cheung, Alex",USA,27,143,169,0:26:07,1:17:19,0:56:03,2:45:23,367,0:05:54,27,M
"Harmon, Mike",USA,28,144,170,0:27:49,1:26:22,0:45:17,2:45:28,365,0:06:00,27,M
"Lintereur, Clare",GBR,3,27,171,0:33:08,1:19:34,0:46:15,2:45:32,881,0:06:35,28,F
"Bezzo, Russell",USA,29,145,172,0:26:59,1:25:59,0:45:23,2:45:43,360,0:07:22,28,M
"Yoshinari, Eric",USA,23,146,173,0:35:52,1:14:46,0:49:29,2:45:44,350,0:05:37,28,M
"Cardenas, Raul",USA,26,147,174,0:31:37,1:18:38,0:49:39,2:45:49,350,0:05:55,28,M
"Noble, Diana",USA,2,28,175,0:32:05,1:17:49,0:50:22,2:46:06,894,0:05:50,29,F
"Christ, Allison",USA,9,29,176,0:32:49,1:21:06,0:46:05,2:46:19,557,0:06:19,30,F
"Jimenez Hinojosa, Heriberto",MEX,25,148,177,0:31:29,1:18:52,0:49:05,2:46:24,350,0:06:58,30,M
"Hicks, Dave",USA,26,149,178,0:32:10,1:25:22,0:43:55,2:46:39,350,0:05:12,30,M
"Muck, Vanessa",USA,4,30,179,0:30:41,1:24:58,0:45:48,2:46:46,861,0:05:19,31,F
"Parks, William",USA,7,150,180,0:27:50,1:19:51,0:54:03,2:46:53,350,0:05:09,31,M
"Brada, Garett",USA,27,151,181,0:25:10,1:20:59,0:56:01,2:46:56,350,0:04:46,31,M
"Klimenko, Boris",RUS,16,152,182,0:30:15,1:24:34,0:45:47,2:47:18,350,0:06:42,31,M
"Abalos, Warlito",PHL,24,153,183,0:34:00,1:15:32,0:52:15,2:47:20,350,0:05:33,31,M
"Oconnell, Anthony",USA,17,154,184,0:32:43,1:21:07,0:44:06,2:47:28,350,0:09:32,31,M
"Swift, Abigail",USA,10,31,185,0:31:14,1:29:02,0:39:08,2:47:29,533,0:08:05,32,F
"Nagengast, Katherine",USA,4,32,186,0:26:02,1:28:56,0:45:27,2:47:34,540,0:07:09,33,F
"Langbort, Christopher",USA,18,155,187,0:27:06,1:20:53,0:54:10,2:47:53,350,0:05:44,33,M
"Neumann, Chuck",USA,5,156,188,0:29:02,1:16:46,0:58:18,2:48:02,465,0:03:56,33,M
"Guajardo, Ana Gabriela",MEX,5,33,189,0:31:51,1:27:01,0:43:45,2:48:05,529,0:05:28,34,F
"Kopas, Sue",USA,3,34,190,0:28:51,1:23:33,0:49:23,2:48:14,849,0:06:27,35,F
"Mccullum, Jean",USA,6,35,191,0:25:06,1:28:59,0:47:55,2:48:21,524,0:06:21,36,F
"Vargas, Jordan",USA,8,157,192,0:31:44,1:22:19,0:48:43,2:48:30,350,0:05:44,36,M
"Mouadeb, Marcos",MEX,19,158,193,0:31:30,1:23:39,0:46:36,2:48:32,350,0:06:47,36,M
"Brennan, John",USA,30,159,194,0:32:30,1:25:08,0:43:43,2:48:35,350,0:07:14,36,M
"Krings, Joseph",USA,9,160,195,0:31:15,1:16:26,0:54:34,2:48:42,437,0:06:27,36,M
"Carroll, Brendan",USA,9,161,196,0:28:17,1:26:12,0:48:45,2:49:04,350,0:05:50,36,M
"Mclaughlin, Margaret",USA,1,36,197,0:30:39,1:26:07,0:49:01,2:49:32,1000,0:03:45,37,F
"Peck, Robert",USA,28,162,197,0:31:36,1:23:52,0:44:43,2:49:32,350,0:09:21,37,M
"Campbell, Sara",USA,4,37,199,0:30:19,1:22:36,0:48:22,2:49:37,795,0:08:20,38,F
"Chenier, Laura",USA,11,38,200,0:29:31,1:23:29,0:49:57,2:49:38,487,0:06:41,39,F
"Dallas, Dirk",USA,20,163,201,0:29:12,1:25:17,0:50:38,2:49:49,350,0:04:42,39,M
"Milton, Brian",USA,10,164,202,0:31:29,1:17:36,0:52:49,2:49:59,410,0:08:05,39,M
"Mousseau, Anne",USA,12,39,202,0:33:53,1:22:42,0:47:26,2:49:59,480,0:05:58,40,F
"Mullarney, Kelly",USA,13,165,204,0:33:07,1:19:31,0:49:26,2:50:11,605,0:08:07,40,M
"Beers, Jeff",USA,31,166,205,0:30:29,1:20:53,0:50:39,2:50:25,350,0:08:24,40,M
"Fitch, Tom",USA,1,167,206,0:32:22,1:20:08,0:51:15,2:50:37,1000,0:06:52,40,M
"Todd, Mike",USA,14,168,207,0:33:24,1:18:39,0:51:46,2:50:47,592,0:06:58,40,M
"Dewees, Bobby",USA,21,169,208,0:31:04,1:28:39,0:42:27,2:50:52,350,0:08:42,40,M
"Kahf, Markus",DEU,10,170,209,0:35:01,1:16:19,0:53:06,2:50:55,350,0:06:29,40,M
"Keller, Ben",USA,29,171,210,0:27:33,1:24:35,0:52:49,2:50:56,350,0:05:59,40,M
"Brown, Matthew",USA,30,172,211,0:27:06,1:28:11,0:49:32,2:51:05,350,0:06:16,40,M
"Ullman, Kristen",USA,13,40,211,0:29:44,1:25:06,0:51:46,2:51:05,457,0:04:29,41,F
"Wang, Howard",USA,25,172,211,0:33:33,1:15:28,0:55:55,2:51:05,350,0:06:09,41,M
"Schmitz, Randy",USA,15,174,214,0:31:46,1:21:28,0:48:08,2:51:16,582,0:09:54,41,M
"Allen, Darren",USA,31,175,215,0:30:36,1:19:06,0:54:40,2:51:24,350,0:07:02,41,M
"Bell, Jennifer",USA,5,41,216,0:26:23,1:23:11,0:55:09,2:51:26,763,0:06:43,42,F
"Larson, Elizabeth",USA,6,42,217,0:31:46,1:23:11,0:50:17,2:51:29,598,0:06:15,43,F
"Amende, Brian",USA,26,176,218,0:27:53,1:33:13,0:45:16,2:51:38,350,0:05:16,43,M
"Nolte, Sven",DEU,32,177,219,0:35:32,1:17:08,0:50:10,2:52:13,350,0:09:23,43,M
"Barnes, Anthony",USA,11,178,220,0:31:16,1:22:17,0:49:14,2:52:18,362,0:09:31,43,M
"Suburu, Eric",USA,32,178,220,0:32:15,1:21:10,0:52:47,2:52:15,350,0:06:03,43,M
"Grothjan, Nick",USA,33,179,221,0:34:32,1:20:55,0:49:28,2:52:19,350,0:07:24,43,M
"Sanborn, Jonathan",USA,32,180,222,0:32:57,1:28:13,0:39:46,2:52:23,350,0:11:27,43,M
"Fullaondo, Emilio",MEX,27,181,223,0:23:08,1:30:44,0:49:05,2:52:30,350,0:09:33,43,M
"Wieczorek, Michael",USA,27,182,224,0:35:55,1:19:03,0:48:23,2:52:36,350,0:09:15,43,M
"Coronado, Basil",PHL,28,183,225,0:39:09,1:16:12,0:49:08,2:53:18,350,0:08:49,43,M
"Vogel, Eric",USA,29,184,226,0:35:16,1:19:43,0:54:10,2:53:54,350,0:04:45,43,M
"Becerra, Billy",USA,34,185,227,0:31:28,1:22:53,0:52:07,2:53:57,350,0:07:29,43,M
"Ginther, David",USA,30,186,228,0:31:43,1:19:35,0:56:03,2:54:08,350,0:06:47,43,M
"Chermak, Ron",USA,12,187,229,0:40:18,1:19:47,0:47:44,2:54:10,350,0:06:21,43,M
"Takahashi, Colleen",USA,7,43,230,0:31:02,1:25:52,0:52:14,2:54:14,400,0:05:06,44,F
"Barrad, Natalie",USA,5,44,231,0:27:03,1:26:57,0:53:29,2:54:19,696,0:06:50,45,F
"Johnson , Brandon",USA,33,188,232,0:33:35,1:22:56,0:50:18,2:54:22,350,0:07:33,45,M
"Mancy, Gabrielle",USA,2,45,233,0:25:41,1:34:11,0:49:56,2:54:46,890,0:04:58,46,F
"Bjornsson, Axel",ISL,13,189,234,0:35:56,1:18:02,0:54:38,2:54:49,350,0:06:13,46,M
"O'Keefe, Jennifer",USA,6,46,235,0:31:20,1:24:23,0:51:51,2:54:54,690,0:07:20,47,F
"Mccarley, Land",USA,35,190,236,0:31:24,1:20:36,0:56:42,2:54:55,350,0:06:13,47,M
"Hearty, William",USA,22,191,237,0:28:38,1:29:21,0:49:44,2:55:19,350,0:07:36,47,M
"Gillis, Adrienne",USA,8,47,238,0:31:57,1:27:43,0:47:58,2:55:20,377,0:07:42,48,F
"Griffith, Dan",USA,28,192,239,0:31:58,1:21:30,0:48:13,2:55:24,350,0:13:43,48,M
"Young, Lilias",USA,7,48,240,0:31:36,1:24:55,0:51:43,2:55:29,678,0:07:15,49,F
"Kwok, Jason",USA,29,193,241,0:37:21,1:23:59,0:48:14,2:55:31,350,0:05:57,49,M
"Blay, Christopher",USA,36,194,242,0:30:53,1:28:08,0:45:28,2:55:43,350,0:11:14,49,M
"Spelke, Jon",USA,16,195,243,0:30:00,1:22:38,0:55:32,2:56:04,481,0:07:54,49,M
"Gillis, Ryan",USA,23,196,244,0:28:03,1:32:35,0:45:19,2:56:05,350,0:10:08,49,M
"Metz, Michael",USA,24,197,245,0:36:07,1:23:50,0:50:07,2:56:06,350,0:06:02,49,M
"Carstensen, Haley",USA,9,49,246,0:27:02,1:32:29,0:48:24,2:56:08,360,0:08:13,50,F
